,,,,,,,,,Input,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,M23,,J8,B8,M25,,,M18,,,,,,,,,,,
,,,,,,,Output,Sxc,Iy,Load to shear centre (X),Cw, (Mirrored section),J,G0,Beta (Î²),Lb,Centroid to load,X0,,,,,,,,,,,
,,,,,,650-027,2.13,22467.8408,80338.0000,8.8435,304838656.0000,856500000.0000,853.1600,76.0652,-10.0691,1.8000,9.2662,18.1097,1713000000.0000,,,,,,,,,,
,,,,,,,1.7,22467.8408,80338.0000,8.8435,304838656.0000,856500000.0000,853.1600,76.0652,-10.0691,2.4000,9.2662,18.1097,1713000000.0000,,,,,,,,,,
,,,,,,,1.42,22467.8408,80338.0000,8.8435,304838656.0000,856500000.0000,853.1600,76.0652,-10.0691,3.0000,9.2662,18.1097,1713000000.0000,,Mullion,Span (m),FEA (PFEA) (kNm),"ADM (PDes,ADM) (kNm)","Eurocode (PDes.Eur,M1) (kNm)","Eurocode (PDes.Eur,M2) (kNm)","(PFEA)/ (PDes,ADM)","(PFEA)/ (PDes.Eur,M1)","(PFEA)/ (PDes.Eur,M2)"
,,,,,,,1.23,22467.8408,80338.0000,8.8435,304838656.0000,856500000.0000,853.1600,76.0652,-10.0691,3.6000,9.2662,18.1097,1713000000.0000,,,,,1.41,0.87,1.1,0.89,1.45,1.15
,,,,,,,1.13,22467.8408,80338.0000,8.8435,304838656.0000,856500000.0000,853.1600,76.0652,-10.0691,4.2000,9.2662,18.1097,1713000000.0000,,,,,0.86,0.58,0.72,1.09,1.62,1.31
,,,,,,650-028,1.43,22128.9502,38566.0000,4.0228,122729190.0000,289975000.0000,1161.9994,64.3000,12.8872,1.8000,6.3900,10.4128,579950000.0000,,,,,0.61,0.43,0.51,1.21,1.72,1.45
,,,,,,,1.17,22467.8408,38566.0000,4.0228,122729190.0000,289975000.0000,1161.9994,64.3000,12.8872,2.4000,6.3900,10.4128,579950000.0000,,,,,0.46,0.34,0.4,1.3,1.76,1.5
,,,,,,,0.99,22467.8408,38566.0000,4.0228,122729190.0000,289975000.0000,1161.9994,64.3000,12.8872,3.0000,6.3900,10.4128,579950000.0000,,,,,,,,,,
,,,,,,,0.84,22467.8408,38566.0000,4.0228,122729190.0000,289975000.0000,1161.9994,64.3000,12.8872,3.6000,6.3900,10.4128,579950000.0000,,,,,0.37,0.28,0.32,1.14,1.5,1.31
,,,,,,,0.73,22467.8408,38566.0000,4.0228,122729190.0000,289975000.0000,1161.9994,64.3000,12.8872,4.2000,6.3900,10.4128,579950000.0000,,,,,,,,,,
,,,,,,579-001,7.93,55291.2234,651420.0000,25.4695,1653100000.0000,10455500000.0000,5892.4000,92.3600,-47.7240,1.8000,17.1430,42.6125,20911000000.0000,,,,,2.84,2.5,2.89,1.25,1.42,1.22
,,,,,,,7.32,55291.2234,651420.0000,25.4695,1653100000.0000,10455500000.0000,5892.4000,92.3600,-47.7240,2.4000,17.1430,42.6125,20911000000.0000,,,,,2.51,1.82,2.22,1.39,1.91,1.57
,,,,,,,6.74,55291.2234,651420.0000,25.4695,1653100000.0000,10455500000.0000,5892.4000,92.3600,-47.7240,3.0000,17.1430,42.6125,20911000000.0000,,,,,2.07,1.38,1.67,1.71,2.57,2.12
,,,,,,,6.2,55291.2234,651420.0000,25.4695,1653100000.0000,10455500000.0000,5892.4000,92.3600,-47.7240,3.6000,17.1430,42.6125,20911000000.0000,,,,,1.56,1.1,1.3,2.26,3.2,2.71
,,,,,,,5.7,55291.2234,651420.0000,25.4695,1653100000.0000,10455500000.0000,5892.4000,92.3600,-47.7240,4.2000,17.1430,42.6125,20911000000.0000,,,,,1.25,0.91,1.05,2.72,3.74,3.24
,,,,,,451016,1.26,25519.0000,62881.0000,-2.5559,182810000.0000,394230000.0000,846.1000,58.9540,-20.8520,1.8000,11.1329,8.5770,788460000.0000,,,,,5.78,4.84,6.17,1.09,1.3,1.02
,,,,,,,0.94,25519.0000,62881.0000,-2.5559,182810000.0000,394230000.0000,846.1000,58.9540,-20.8520,2.4000,11.1329,8.5770,788460000.0000,,,,,5.02,3.4,4.95,1.15,1.7,1.17
,,,,,,,0.74,25519.0000,62881.0000,-2.5559,182810000.0000,394230000.0000,846.1000,58.9540,-20.8520,3.0000,11.1329,8.5770,788460000.0000,,,,,3.95,2.53,3.72,1.34,2.09,1.42
,,,,,,,0.6,25519.0000,62881.0000,-2.5559,182810000.0000,394230000.0000,846.1000,58.9540,-20.8520,3.6000,11.1329,8.5770,788460000.0000,,,,,2.95,1.99,2.84,1.63,2.41,1.69
,,,,,,,0.42,25519.0000,62881.0000,-2.5559,182810000.0000,394230000.0000,846.1000,58.9540,-20.8520,4.2000,11.1329,8.5770,788460000.0000,,,,,2.33,1.63,2.25,1.88,2.69,1.95
,,,,,,451020,3.54,20616.0000,222600.0000,-0.9247,637740000.0000,1501050000.0000,2559.5000,63.4390,-28.5960,1.8000,18.7987,17.8740,3002100000.0000,,,,,3.23,1.85,2.44,0.73,1.27,0.96
,,,,,,,3.48,20616.0000,222600.0000,-0.9247,637740000.0000,1501050000.0000,2559.5000,63.4390,-28.5960,2.4000,18.7987,17.8740,3002100000.0000,,,,,2.06,1.31,1.62,1.05,1.65,1.33
,,,,,,,3.54,20616.0000,222600.0000,-0.9247,637740000.0000,1501050000.0000,2559.5000,63.4390,-28.5960,3.0000,18.7987,17.8740,3002100000.0000,,,,,1.49,1.01,1.2,1.35,1.99,1.68
,,,,,,,3.52,20616.0000,222600.0000,-0.9247,637740000.0000,1501050000.0000,2559.5000,63.4390,-28.5960,3.6000,18.7987,17.8740,3002100000.0000,,,,,1.16,0.83,0.94,1.64,2.29,2.02
,,,,,,,3.4,20616.0000,222600.0000,-0.9247,637740000.0000,1501050000.0000,2559.5000,63.4390,-28.5960,4.2000,18.7987,17.8740,3002100000.0000,,,,,0.94,0.71,0.78,1.96,2.59,2.36
,,,,,,546001,6.28,41544.0000,412790.0000,28.1172,1323400000.0000,5324500000.0000,3998.6000,73.7210,-32.0440,1.8000,14.3888,42.5060,10649000000.0000,,,,,3.18,2.01,2.86,0.9,1.43,1
,,,,,,,5.78,41544.0000,412790.0000,28.1172,1323400000.0000,5324500000.0000,3998.6000,73.7210,-32.0440,2.4000,14.3888,42.5060,10649000000.0000,,,,,2.17,1.28,1.88,1.1,1.86,1.27
,,,,,,,5.3,41544.0000,412790.0000,28.1172,1323400000.0000,5324500000.0000,3998.6000,73.7210,-32.0440,3.0000,14.3888,42.5060,10649000000.0000,,,,,1.46,0.91,1.3,1.35,2.16,1.52
,,,,,,,4.8,41544.0000,412790.0000,28.1172,1323400000.0000,5324500000.0000,3998.6000,73.7210,-32.0440,3.6000,14.3888,42.5060,10649000000.0000,,,,,1.06,0.69,0.96,1.59,2.45,1.76
,,,,,,,4.39,41544.0000,412790.0000,28.1172,1323400000.0000,5324500000.0000,3998.6000,73.7210,-32.0440,4.2000,14.3888,42.5060,10649000000.0000,,,,,0.83,0.56,0.75,1.81,2.68,2
,,,,,,546002,2.35,32869.0000,120790.0000,16.0068,228180000.0000,785200000.0000,3227.6000,73.6220,-7.1365,1.8000,5.9762,21.9830,1570400000.0000,,,,,1.49,0.91,1.12,1.21,1.98,1.61
,,,,,,,2.16,32869.0000,120790.0000,16.0068,228180000.0000,785200000.0000,3227.6000,73.6220,-7.1365,2.4000,5.9762,21.9830,1570400000.0000,,,,,0.92,0.61,0.73,1.55,2.34,1.96
,,,,,,,2.01,32869.0000,120790.0000,16.0068,228180000.0000,785200000.0000,3227.6000,73.6220,-7.1365,3.0000,5.9762,21.9830,1570400000.0000,,,,,0.65,0.46,0.53,1.85,2.61,2.26
,,,,,,,1.9,32869.0000,120790.0000,16.0068,228180000.0000,785200000.0000,3227.6000,73.6220,-7.1365,3.6000,5.9762,21.9830,1570400000.0000,,,,,0.5,0.36,0.41,2.02,2.81,2.46
,,,,,,,1.84,32869.0000,120790.0000,16.0068,228180000.0000,785200000.0000,3227.6000,73.6220,-7.1365,4.2000,5.9762,21.9830,1570400000.0000,,,,,0.4,0.3,0.33,2.2,2.93,2.67
,,,,,,650501,2.87,25239.0000,135830.0000,591009987.4427,-24.7340,1730500000.0000,1102.2000,80.4270,-16.1730,1.8000,12.5573,591010000.0000,3461000000.0000,,,,,5.88,4.89,6.2,0.82,0.98,0.77
,,,,,,,2.38,25239.0000,135830.0000,591009987.4427,-24.7340,1730500000.0000,1102.2000,80.4270,-16.1730,2.4000,12.5573,591010000.0000,3461000000.0000,,,,,5.09,3.46,4.97,0.9,1.32,0.92
,,,,,,,1.97,25239.0000,135830.0000,591009987.4427,-24.7340,1730500000.0000,1102.2000,80.4270,-16.1730,3.0000,12.5573,591010000.0000,3461000000.0000,,,,,4.01,2.57,3.74,1.07,1.67,1.15
,,,,,,,1.69,25239.0000,135830.0000,591009987.4427,-24.7340,1730500000.0000,1102.2000,80.4270,-16.1730,3.6000,12.5573,591010000.0000,3461000000.0000,,,,,3,2.03,2.87,1.35,2,1.41
,,,,,,,1.5,25239.0000,135830.0000,591009987.4427,-24.7340,1730500000.0000,1102.2000,80.4270,-16.1730,4.2000,12.5573,591010000.0000,3461000000.0000,,,,,2.37,1.67,2.27,1.65,2.34,1.72
,,,,,,650502,1.8,25519.0000,50737.0000,5.0638,184960000.0000,398855000.0000,1250.4000,66.1069,10.0300,1.8000,7.8002,12.8640,797710000.0000,,,,,3.13,1.95,2.53,1.13,1.82,1.4
,,,,,,,1.43,25519.0000,50737.0000,5.0638,184960000.0000,398855000.0000,1250.4000,66.1069,10.0300,2.4000,7.8002,12.8640,797710000.0000,,,,,2.03,1.39,1.69,1.5,2.19,1.8
,,,,,,,1.2,25519.0000,50737.0000,5.0638,184960000.0000,398855000.0000,1250.4000,66.1069,10.0300,3.0000,7.8002,12.8640,797710000.0000,,,,,1.48,1.08,1.25,1.76,2.42,2.09
,,,,,,,1.01,25519.0000,50737.0000,5.0638,184960000.0000,398855000.0000,1250.4000,66.1069,10.0300,3.6000,7.8002,12.8640,797710000.0000,,,,,1.16,0.88,0.99,1.94,2.56,2.27
,,,,,,,0.88,25519.0000,50737.0000,5.0638,184960000.0000,398855000.0000,1250.4000,66.1069,10.0300,4.2000,7.8002,12.8640,797710000.0000,,,,,0.96,0.75,1.25,2.02,2.59,1.55
,,,,,,546169,4.8,41824.0000,416020.0000,27.7730,1329300000.0000,5272500000.0000,4238.2000,73.4910,-31.7810,1.8000,14.6090,42.3820,10545000000.0000,,,,,6.77,5.74,7.22,0.8,0.94,0.75
,,,,,,,4.56,41824.0000,416020.0000,27.7730,1329300000.0000,5272500000.0000,4238.2000,73.4910,-31.7810,2.4000,14.6090,42.3820,10545000000.0000,,,,,5.94,4.08,5.62,1.02,1.48,1.07
,,,,,,,4.3,41824.0000,416020.0000,27.7730,1329300000.0000,5272500000.0000,4238.2000,73.4910,-31.7810,3.0000,14.6090,42.3820,10545000000.0000,,,,,4.64,3.07,4.2,1.18,1.79,1.3
,,,,,,,4.06,41824.0000,416020.0000,27.7730,1329300000.0000,5272500000.0000,4238.2000,73.4910,-31.7810,3.6000,14.6090,42.3820,10545000000.0000,,,,,3.51,2.45,3.23,1.41,2.02,1.54
,,,,,,,3.91,41824.0000,416020.0000,27.7730,1329300000.0000,5272500000.0000,4238.2000,73.4910,-31.7810,4.2000,14.6090,42.3820,10545000000.0000,,,,,2.8,2.03,2.59,1.6,2.21,1.73
,,,,,,546170,3.54,33223.0000,128520.0000,16.1682,239710000.0000,775700000.0000,3446.0000,56.3570,-4.1019,1.8000,6.4108,22.5790,1551400000.0000,,,,,3.51,2.27,3.01,1.16,1.79,1.35
,,,,,,,3.04,33223.0000,128520.0000,16.1682,239710000.0000,775700000.0000,3446.0000,56.3570,-4.1019,2.4000,6.4108,22.5790,1551400000.0000,,,,,2.31,1.63,2.01,1.52,2.15,1.74
,,,,,,,2.61,33223.0000,128520.0000,16.1682,239710000.0000,775700000.0000,3446.0000,56.3570,-4.1019,3.0000,6.4108,22.5790,1551400000.0000,,,,,1.7,1.27,1.49,1.77,2.37,2.02
,,,,,,,2.25,33223.0000,128520.0000,16.1682,239710000.0000,775700000.0000,3446.0000,56.3570,-4.1019,3.6000,6.4108,22.5790,1551400000.0000,,,,,1.35,1.05,1.18,1.92,2.47,2.19
,,,,,,,1.94,33223.0000,128520.0000,16.1682,239710000.0000,775700000.0000,3446.0000,56.3570,-4.1019,4.2000,6.4108,22.5790,1551400000.0000,,,,,1.11,0.89,0.98,2.71,3.38,3.07
,,,,,,546069,5.4,50182.0000,450310.0000,27.1506,1521900000.0000,5418500000.0000,6220.8000,70.3800,-27.3470,1.8000,15.1224,42.2730,10837000000.0000,,,,,9.98,9.05,10.56,1.77,0.71,0.7
,,,,,,,6.04,50182.0000,450310.0000,27.1506,1521900000.0000,5418500000.0000,6220.8000,70.3800,-27.3470,2.4000,15.1224,42.2730,10837000000.0000,,,,,8.58,6.64,9.18,2.39,0.79,0.79
,,,,,,,5.48,50182.0000,450310.0000,27.1506,1521900000.0000,5418500000.0000,6220.8000,70.3800,-27.3470,3.0000,15.1224,42.2730,10837000000.0000,,,,,7.22,4.82,7.31,2.41,0.84,0.91
,,,,,,,4.96,50182.0000,450310.0000,27.1506,1521900000.0000,5418500000.0000,6220.8000,70.3800,-27.3470,3.6000,15.1224,42.2730,10837000000.0000,,,,,5.93,3.66,5.65,2.38,0.97,1.05
,,,,,,,4.48,50182.0000,450310.0000,27.1506,1521900000.0000,5418500000.0000,6220.8000,70.3800,-27.3470,4.2000,15.1224,42.2730,10837000000.0000,,,,,4.69,2.91,4.43,2.31,1.22,1.28
,,,,,,546070,4.06,39554.0000,137210.0000,16.6701,265070000.0000,1012300000.0000,4644.9000,63.9342,-19.7230,1.8000,6.9519,23.6220,2024600000.0000,,,,,,,,,,
,,,,,,,3.5,39554.0000,137210.0000,16.6701,265070000.0000,1012300000.0000,4644.9000,63.9342,-19.7230,2.4000,6.9519,23.6220,2024600000.0000,,,,,,,,,,
,,,,,,,3.01,39554.0000,137210.0000,16.6701,265070000.0000,1012300000.0000,4644.9000,63.9342,-19.7230,3.0000,6.9519,23.6220,2024600000.0000,,,,,,,,,,
,,,,,,,2.59,39554.0000,137210.0000,16.6701,265070000.0000,1012300000.0000,4644.9000,63.9342,-19.7230,3.6000,6.9519,23.6220,2024600000.0000,,,,,,,,,,
,,,,,,,3.01,39554.0000,137210.0000,16.6701,265070000.0000,1012300000.0000,4644.9000,63.9342,-19.7230,4.2000,6.9519,23.6220,2024600000.0000,,,,,,,,,,
,,,,,,586001,7.43,66855.0000,693870.0000,33.0358,4500700000.0000,16182500000.0000,4724.6000,92.5550,-11.6080,1.8000,15.5572,48.5930,32365000000.0000,,,,,,,,,,
,,,,,,,7.24,66855.0000,693870.0000,33.0358,4500700000.0000,16182500000.0000,4724.6000,92.5550,-11.6080,2.4000,15.5572,48.5930,32365000000.0000,,,,,,,,,,
,,,,,,,6.66,66855.0000,693870.0000,33.0358,4500700000.0000,16182500000.0000,4724.6000,92.5550,-11.6080,3.0000,15.5572,48.5930,32365000000.0000,,,,,,,,,,
,,,,,,,5.95,66855.0000,693870.0000,33.0358,4500700000.0000,16182500000.0000,4724.6000,92.5550,-11.6080,3.6000,15.5572,48.5930,32365000000.0000,,,,,,,,,,
,,,,,,,5.68,66855.0000,693870.0000,33.0358,4500700000.0000,16182500000.0000,4724.6000,92.5550,-11.6080,4.2000,15.5572,48.5930,32365000000.0000,,,,,,,,,,
